Kategori,Şehir,İlçe,Firma Adı,Adres,Açıklama,Telefon,E-posta,Web Sitesi,Latitude,Longitude
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,MELİSA GÜZELLİK SALONU,"Soğanlı Mah. Gürbüz Sok. 1 Bahçelievler, İstanbul",,02125061571,Veri yok,Veri yok,41.0110980000000,28.8605680000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,CHAKRA DESIGN GÜZELLİK SALONU(Uğur Yıldız),"Siyavuşpaşa Mah. Manolya Sok. 3 Bahçelievler, İstanbul",,02124417065,info@chakraguzellik.com,http://www.chakraguzellik.com,40.9996170000000,28.8568410000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,NOKTA GÜZELLİK MERKEZİ- NOKTA OTOMOTİV İNŞAAT EMLAK KOLL.ŞTİ.,"Bahçelievler Mah. Adnan Kahveci Blv. 48 Bahçelievler, İstanbul",,02124414110,Veri yok,Veri yok,41.0019280000000,28.8630440000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,SEÇİL GÜZELLİK SALONU,"Şirinevler Mah. Kazım Karabekir Cad. Kansu Sok. 1 Güven Apt. K:1 D:4 Bahçelievler, İstanbul",,05358614179,Veri yok,Veri yok,40.9967010000000,28.8456940000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,HATİCE KAŞIK KUAFÖR VE GÜZELLİK SALONU(Hatice Kaşık),"Bahçelievler Mah. Deli Hüseyinpaşa Cad. Elvan Sok. 1/B Yener Apt. Bahçelievler, İstanbul",,05395156775,Veri yok,Veri yok,41.0077110000000,28.8606430000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,JEST ESTETİK(Nurdane Ayyıldız),"Bahçelievler Mah. Şüküfe Nihal Sok. 7 Bahçelievler, İstanbul",,02124412321,Veri yok,Veri yok,40.9998660000000,28.8624270000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,ANATOLIA GÜZELLİK MERKEZİ(Murat Keleş),"Bahçelievler Mah. Kültür Sok. 10 Bahçelievler, İstanbul",,02124422785,Veri yok,Veri yok,40.9967120000000,28.8624130000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,ESTETİEN GÜZELLİK & ESTETİK MERKEZİ(Seyhan İğnak),"Bahçelievler Mah. Şükufe Nihal Sok. 4/A Bahçelievler, İstanbul",,02126420024,Veri yok,Veri yok,40.9995590000000,28.8622330000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,EPİ CENTER ESTETİK VE GÜZELLİK MERKEZİ(Hasan Öztürk),"Şirinevler Mah. Meriç Sok. 18 Bahçelievler, İstanbul",,02125035900,Veri yok,Veri yok,40.9924320000000,28.8441350000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,EKİNOKS GÜZELLİK MERKEZİ,"Şirinevler Mah. Mahmutbey Cad. 1. Sok. 4 Bahçelievler, İstanbul",,02125526300,Veri yok,Veri yok,40.9978090000000,28.8480890000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,IŞIK LAZER GÜZELLİK SALONU,"Mahmutbey Yolu Cad. 18/A Kocasinan, Bahçelievler, İstanbul",,02125507527,Veri yok,Veri yok,41.0234010000000,28.8385580000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,DOĞA GÜZELLİK SALONU(Melek Özdemir),"Bahçelievler Mah. İzzet Çalışlar Cad. 5 Birlik Apt. D:5 Bahçelievler, İstanbul",,05439734343,Veri yok,Veri yok,41.0041490000000,28.8714060000000
guzellik-salonlari-ve-merkezleri,istanbul,bahcelievler,MELİS EPİLASYON(Özlem Ateş),"Şirinevler Mah. Dumlupınar Cad. 98 Bahçelievler, İstanbul",,02126522535,Veri yok,Veri yok,40.9919400000000,28.8451620000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,VIP NAILBAR TIRNAK MERKEZİ,"Şenlikköy Mah. Florya Cad. 12/A Bakırköy, İstanbul",Cilt ve Tırnak Bakım Merkezi,05306245227,Veri yok,Veri yok,40.9770430000000,28.7917150000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BENGÜ GÜZELLİK SALONU(Pakize Toraman),"Yeşilköy Mah. Çekmece Cad. 26 Bakırköy, İstanbul",,02125738327,Veri yok,Veri yok,40.9595700000000,28.8200890000000
